SR. NO,Model,UPC,SKU,Option,Item Name (English),Category Name ( Arabic),Item Name (Arabic),RRP,REMARKS,Unnamed: 10,Tag (English),"Tag,(Arabic)",SEO,English Desc,Arabic Desc
9,ANKER CABLES,,7D-A8187H91,,ANKER POWERLINE+ USB-C TO USB-C 2.0 - 0.9M/3FT - RED,,انكر وصلة شحن باورلاين بلص يو اس بي سي إلى يو اس بي 2.0   0.9 متر/ 3 قدم - أحمر,5.0,OUT OF STOCK,,"ANKER,POWERLINE+,USB-C,TO,USB-C,2.0,0.9M,3FT,RED","انكر,وصلة,شحن,باورلاين,بلص,يو,اس,بي,سي,إلى,يو,اس,بي,2.0,0.9,متر,3,قدم,أحمر",ANKER-POWERLINE+-USB-C-TO-USB-C-2.0-0.9M-3FT-RED,"PowerLine+ USB-C to USB 2.0
The Premium Nylon-Braided Cable

From ANKER, America's Leading USB Charging Brand
Faster and safer charging with our advanced technology
20 million+ happy users and counting

Incredibly Durability
Proven to last at least 6 times as long as other cables, it boasts a bend tolerance 6 times higher. It is simply one of the most durable cables, ever. So strong, in fact, it will support a hanging weight over 80kg.

Full-Speed Charging
Engineered from exceptional materials and hardware; designed to ensure superior speed and reliability. Fully compatible with Qualcomm Quick Charge and most other high-speed charging protocols. A 56k Ohm pull-up resistor provides worry-free use with any device.

Proven Compatibility
PowerLine+ has been precision engineered to provide a secure and reliable fit with any USB-C device. Our rigorous in-house tests confirm seamless physical compatibility with all tested devices.

Fully Compatible Devices:
- Galaxy S8/S8+
- HTC 10
- Sony XZ
- LG V20/G5/G6
- Xiaomi 5

Compatible Devices (limited charging speeds):
- Nexus 5X/6P
- MacBook (2016)/MacBook Pro 13.3''/MacBook Pro 15.4''
- Google Chromebook/Pixel C
- Google Pixel/Pixel XL
- Huawei Mate 9/P10
- MOTO Z/Z Force
- One Plus 3","باور لاين + يو اس بي سي إلي يو اس بي 2.0
الكابل المضفر بالنايلون الممتاز

من ANKER ، العلامة التجارية الرائدة لشحن USB في أمريكا
شحن أسرع وأكثر أمانًا مع تقنيتنا المتقدمة
20 مليون + مستخدم سعيد والعد مستمر

متانة لا تصدق
ثبت أنها تدوم 6 مرات على الأقل مثل الكابلات الأخرى ، فهي تتميز بتحمل الانحناء أعلى 6 مرات. إنه ببساطة أحد أكثر الكابلات متانة على الإطلاق. قوية جدًا ، في الواقع ، ستدعم وزنًا معلقًا يزيد عن 80 كجم.

شحن كامل السرعة
مصممة من مواد وأجهزة استثنائية ؛ مصممة لضمان السرعة والموثوقية الفائقة. متوافق تمامًا مع Qualcomm Quick Charge ومعظم بروتوكولات الشحن عالية السرعة الأخرى. يوفر المقاوم للسحب 56 كيلو أوم استخدامًا خاليًا من القلق مع أي جهاز.

توافق مثبت
تم تصميم PowerLine + بدقة لتوفير توافق آمن وموثوق مع أي جهاز USB-C. تؤكد اختباراتنا الداخلية الصارمة التوافق المادي السلس مع جميع الأجهزة المختبرة.

أجهزة متوافقة تمامًا:
• جالكسي S8 / S8 +
• HTC 10
• سوني XZ
• LG V20 / G5 / G6
• شاومي 5
الأجهزة المتوافقة (سرعات شحن محدودة):
• Nexus 5X / 6P
• MacBook (2016) / MacBook Pro 13.3 بوصة / MacBook Pro 15.4 بوصة
• جوجل كروم بوك / بكسل سي
• جوجل Pixel / Pixel XL
• هواوي ميت 9 / بي 10
• قوة MOTO Z / Z
• ون بلس 3"
10,ANKER CABLES,848061040975.0,7D-A8342H41,,ANKER USB-C HUB WITH HDMI - SILVER,,انكر محول يو اس بي هب مع اتش دي ام أي - فضي,20.0,OUT OF STOCK,,"ANKER,USB-C,HUB,WITH,HDMI,SILVER","انكر,محول,يو,اس,بي,هب,مع,اتش,دي,ام,أي,فضي",ANKER-USB-C-HUB-WITH-HDMI-SILVER,"PowerExpand+ 7-in-1 USB-C PD Media Hub
The USB, HDMI, SD Card, and Power Delivery Charging Station
All The Ports You Need
Get 2 USB-A data ports, 1 USB-C Power Delivery charging port, 1 USB-C data port, 1 HDMI port, 1 microSD card slot, and 1 standard SD slot—all in one hub
Power Delivery Compatible
Supports up to 100W (minus 15W for operation) pass-through charging so you can power up a 15” MacBook Pro at full speed—all while accessing the hub’s other functions. (Charger not included).
Crystal-Clear Display
Don’t waste time switching back and forth between programs or documents. Simply connect to an external monitor via the 4K HDMI port for an easier and more productive experience.
Transfer Files in Seconds
Transfer movies, photos, and music at speeds up to 5 Gbps via the USB-C data port and dual USB-A ports.
Universal SD Card Compatibility
The SD and microSD card slots support virtually all SD card formats for seamless access to photos and other media files.
Compatible Devices Include:
• MacBook Pro (2020 / 2019 / 2018 / 2017 / 2016)
• MacBook Air (2020 / 2019 / 2018)
• Pixelbook (2017)
• Incompatible Devices:
• Nintendo Switch, Apple USB SuperDrive, Original XPS 13 stock adapter
• Devices That Do Not Support USB-C Media Display
• VivoBook L203MA Ultra-Thin, VivoBook 15 Thin and Light Laptop
• ZenBook 13 Ultra-Slim Laptop
• 100e Chromebook 2nd Gen
• Ideapad L340 Gaming Laptop
• 2-in-1 11.6"" Convertible Chromebook Touchscreen Laptop (2020)
• 15.6"" HD Touchscreen Laptop, 15” FHD Laptop, 14"" Touchscreen Home and Business Laptop
• Aspire 5 Slim Laptop
Supported Systems:
Windows 10, 8, 7, Vista, XP, Mac OS X 10.6 or later, Linux 2.6.14 or later, iPad OS","موزع وسائط PowerExpand +  7 في 1 USB-C PD
USB و HDMI و SD Card ومحطة شحن توصيل الطاقة

كل المنافذ التي تحتاجها
احصل على منفذي بيانات USB-A ومنفذ شحن USB-C للشحن ومنفذ بيانات USB-C ومنفذ HDMI وفتحة بطاقة microSD وفتحة SD قياسية - كل ذلك في مركز واحد.

متوافق مع توصيل الطاقة
يدعم ما يصل إلى 100 واط (أقل من 15 واط للتشغيل) للشحن المار حتى تتمكن من تشغيل جهاز MacBook Pro مقاس 15 بوصة بأقصى سرعة - كل ذلك أثناء الوصول إلى وظائف المحور الأخرى. (الشاحن غير مدرج).

شاشة فائقة الوضوح
لا تضيع وقتك في التبديل بين البرامج أو المستندات. ما عليك سوى التوصيل بشاشة خارجية عبر منفذ HDMI بدقة 4K للاستمتاع بتجربة أسهل وأكثر إنتاجية.

نقل الملفات في ثوان
انقل الأفلام والصور والموسيقى بسرعات تصل إلى 5 جيجابت في الثانية عبر منفذ بيانات USB-C ومنافذ USB-A المزدوجة.

توافق بطاقة SD العالمية
تدعم فتحات بطاقة SD و microSD جميع تنسيقات بطاقات SD تقريبًا للوصول السلس إلى الصور وملفات الوسائط الأخرى.




تشمل الأجهزة المتوافقة:
• MacBook Pro (2020/2019/2018/2017/2016)
• MacBook Air (2020/2019/2018)
• Pixelbook (2017)

الأجهزة غير المتوافقة:
• نينتندو سويتش ، محرك Apple USB SuperDrive ، محول أصلي XPS 13
• الأجهزة التي لا تدعم عرض وسائط USB-C
• VivoBook L203MA نحيف للغاية ، كمبيوتر محمول VivoBook 15 رفيع وخفيف الوزن
• جهاز كمبيوتر محمول ZenBook 13 فائق النحافة
• 100e Chromebook الجيل الثاني
• كمبيوتر محمول للألعاب Ideapad L340
• 2 في 1 11.6 ""كمبيوتر محمول قابل للتحويل بشاشة تعمل باللمس Chromebook (2020)
• كمبيوتر محمول بشاشة لمس عالية الدقة مقاس 15.6 بوصة ، وكمبيوتر محمول عالي الدقة مقاس 15 بوصة ، وكمبيوتر محمول بشاشة تعمل باللمس مقاس 14 بوصة
• لاب توب أسباير 5 سليم

الأنظمة المدعومة:
Windows 10 و 8 و 7 و Vista و XP و Mac OS X 10.6 أو أحدث ، Linux 2.6.14 أو أحدث ، iPad OS."
11,ANKER CABLES,848061041088.0,7D-A8432H11,BLACK,ANKER POWERLINE II LIGHTNING - 0.9M /3FT - BLACK,,انكر باورلاين 2 كابل لايتننغ بطول 0.9 متر – أسود,5.0,,,"ANKER,POWERLINE,II,LIGHTNING,0.9M,3FT,BLACK","انكر,باورلاين,2,كابل,لايتننغ,بطول,0.9,متر,–,أسود",ANKER-POWERLINE-II-LIGHTNING-0.9M-3FT-BLACK,"Strength In Numbers: Extreme reinforcement ensures internal wiring is protected to keep phones charging—able to support over 175 lb (80kg).
Ultimate Durability: lasts 12X longer than other cables and proven to withstand over 12000 bends in strict laboratory tests.
Charge fast: mfi certification and strict quality testing ensure your Apple devices are charged safely, at their fastest possible speed.
What You Get: Anker PowerLine II (3ft/0.9m including both ends), our fan-favorite 18-month warranty and friendly customer service.
PowerLine II Lightning Cable
The Cable That’s Yours For Life
From Strength to Strength
PowerLine II tolerates being bent over 12,000 times, lasting an enormous 12x longer than other Lightning cables.
Certified Compatibility
MFi certification means total peace of mind because PowerLine II is completely Apple authorized. Designed to work flawlessly with iPhone, iPad, iPod or any device with a Lightning port.
Lasts a Lifetime
To show our belief in PowerLine II, we are offering a hassle-free replacement for all quality issues. Not for half a year, not for 18 months, but for an entire lifetime. It may be the last cable you’ll ever need to buy.
Compatible With:
iPhone 11 / X / XS / XR / XS Max / 8 / 8 Plus / 7 / 7 Plus / 6s / 6s Plus / 6 / 6 Plus / 5s / 5c / 5, iPad Pro / Air / Air 2, iPad mini / mini 2 / mini 3 / mini 4, iPad (4th generation), iPod nano (7th generation), iPod touch (5th generation), AirPods and AirPods with Wireless Charging Case.","القوة في الأرقام: يضمن التعزيز الشديد حماية الأسلاك الداخلية للحفاظ على شحن الهواتف - قادرة على دعم أكثر من 175 رطلاً (80 كجم).
متانة قصوى: تدوم 12 مرة أطول من الكابلات الأخرى وثبت أنها تتحمل أكثر من 12000 انحناء في الاختبارات المعملية الصارمة.
الشحن السريع: تضمن شهادة مؤسسات التمويل الأصغر واختبارات الجودة الصارمة شحن أجهزة Apple الخاصة بك بأمان وبأقصى سرعة ممكنة.
ما تحصل عليه: Anker PowerLine II (3 أقدام / 0.9 م بما في ذلك كلا الطرفين) ، ضماننا المفضل لمدة 18 شهرًا وخدمة العملاء الودودة.
كابل Lightning PowerLine II
الكابل الذي تملكه مدى الحياة
من قوة إلى قوة
يسمح PowerLine II بالانحناء أكثر من 12000 مرة ، ويدوم 12 مرة أطول من كابلات Lightning الأخرى.
التوافق المعتمد
تعني شهادة MFi راحة البال الكاملة لأن PowerLine II مرخص بالكامل من Apple. مصمم للعمل بشكل لا تشوبه شائبة مع iPhone أو iPad أو iPod أو أي جهاز به منفذ Lightning.
يدوم مدى الحياة
لإظهار إيماننا بـ PowerLine II ، نقدم بديلاً خالٍ من المتاعب لجميع مشكلات الجودة. ليس لمدة نصف عام ، وليس لمدة 18 شهرًا ، ولكن طوال العمر. قد يكون هذا هو آخر كابل تحتاج إلى شرائه.
متوافق مع:
iPhone 11 / X / XS / XR / XS Max / 8/8 Plus / 7/7 Plus / 6s / 6s Plus / 6/6 Plus / 5s / 5c / 5 ، iPad Pro / Air / Air 2 ، iPad mini / mini 2 / mini 3 / mini 4 ، iPad (الجيل الرابع) ، iPod nano (الجيل السابع) ، iPod touch (الجيل الخامس) ، AirPods و AirPods مع علبة الشحن اللاسلكي."
11,ANKER CABLES,848061041118.0,7D-A8432H21,WHITE,ANKER POWERLINE II LIGHTNING - 0.9M /3FT - WHITE,,انكر باورلاين 2 كابل لايتننغ بطول 0.9 متر – أبيض,5.0,,,"ANKER,POWERLINE,II,LIGHTNING,0.9M,3FT,WHITE","انكر,باورلاين,2,كابل,لايتننغ,بطول,0.9,متر,–,أبيض",ANKER-POWERLINE-II-LIGHTNING-0.9M-3FT-WHITE,,
11,ANKER CABLES,848061041163.0,7D-A8432H31,BLUE,ANKER POWERLINE II LIGHTNING - 0.9M /3FT - BLUE,,انكر باورلاين 2 كابل لايتننغ بطول 0.9 متر – أزرق,5.0,,,"ANKER,POWERLINE,II,LIGHTNING,0.9M,3FT,BLUE","انكر,باورلاين,2,كابل,لايتننغ,بطول,0.9,متر,–,أزرق",ANKER-POWERLINE-II-LIGHTNING-0.9M-3FT-BLUE,,
12,ANKER CABLES,848061041262.0,7D-A8433H21,,ANKER POWERLINE II LIGHTNING - 1.8M/6FT - WHITE,,انكر باورلاين 2 كابل لايتننغ بطول 1.8 متر – أسود,6.0,,,"ANKER,POWERLINE,II,LIGHTNING,1.8M,6FT,WHITE","انكر,باورلاين,2,كابل,لايتننغ,بطول,1.8,متر,–,أسود",ANKER-POWERLINE-II-LIGHTNING-1.8M-6FT-WHITE,"Strength In Numbers: Extreme reinforcement ensures internal wiring is protected to keep phones charging—able to support over 175 lb (80kg).
Ultimate Durability: lasts 12X longer than other cables and proven to withstand over 12000 bends in strict laboratory tests.
Charge fast: mfi certification and strict quality testing ensure your Apple devices are charged safely, at their fastest possible speed.
What You Get: Anker PowerLine II (6ft/1.8m including both ends), our fan-favorite 18-month warranty and friendly customer service.
PowerLine II Lightning Cable
The Cable That’s Yours For Life
From Strength to Strength
PowerLine II tolerates being bent over 12,000 times, lasting an enormous 12x longer than other Lightning cables.
Certified Compatibility
MFi certification means total peace of mind because PowerLine II is completely Apple authorized. Designed to work flawlessly with iPhone, iPad, iPod or any device with a Lightning port.
Lasts a Lifetime
To show our belief in PowerLine II, we are offering a hassle-free replacement for all quality issues. Not for half a year, not for 18 months, but for an entire lifetime. It may be the last cable you’ll ever need to buy.
Compatible With:
iPhone 11 / X / XS / XR / XS Max / 8 / 8 Plus / 7 / 7 Plus / 6s / 6s Plus / 6 / 6 Plus / 5s / 5c / 5, iPad Pro / Air / Air 2, iPad mini / mini 2 / mini 3 / mini 4, iPad (4th generation), iPod nano (7th generation), iPod touch (5th generation), AirPods and AirPods with Wireless Charging Case.","القوة في الأرقام: يضمن التعزيز الشديد حماية الأسلاك الداخلية للحفاظ على شحن الهواتف - قادرة على دعم أكثر من 175 رطلاً (80 كجم).
متانة قصوى: تدوم 12 مرة أطول من الكابلات الأخرى وثبت أنها تتحمل أكثر من 12000 انحناء في الاختبارات المعملية الصارمة.
الشحن السريع: تضمن شهادة مؤسسات التمويل الأصغر واختبارات الجودة الصارمة شحن أجهزة Apple الخاصة بك بأمان وبأقصى سرعة ممكنة.
ما تحصل عليه: Anker PowerLine II (6 أقدام / 1.8 م بما في ذلك كلا الطرفين) ، ضماننا المفضل لمدة 18 شهرًا وخدمة العملاء الودودة.
كابل Lightning PowerLine II
الكابل الذي تملكه مدى الحياة
من قوة إلى قوة
يسمح PowerLine II بالانحناء أكثر من 12000 مرة ، ويدوم 12 مرة أطول من كابلات Lightning الأخرى.
التوافق المعتمد
تعني شهادة MFi راحة البال الكاملة لأن PowerLine II مرخص بالكامل من Apple. مصمم للعمل بشكل لا تشوبه شائبة مع iPhone أو iPad أو iPod أو أي جهاز به منفذ Lightning.
يدوم مدى الحياة
لإظهار إيماننا بـ PowerLine II ، نقدم بديلاً خالٍ من المتاعب لجميع مشكلات الجودة. ليس لمدة نصف عام ، وليس لمدة 18 شهرًا ، ولكن طوال العمر. قد يكون هذا هو آخر كابل تحتاج إلى شرائه.
متوافق مع:
iPhone 11 / X / XS / XR / XS Max / 8/8 Plus / 7/7 Plus / 6s / 6s Plus / 6/6 Plus / 5s / 5c / 5 ، iPad Pro / Air / Air 2 ، iPad mini / mini 2 / mini 3 / mini 4 ، iPad (الجيل الرابع) ، iPod nano (الجيل السابع) ، iPod touch (الجيل الخامس) ، AirPods و AirPods مع علبة الشحن اللاسلكي."
13,ANKER CABLES,848061041460.0,7D-A8434H11,BLACK,ANKER POWERLINE II LIGHTNING - 3M/10FT - BLACK,,آنكر باورلاين 2 كابل لايتننغ بطول 3 متر - أسود,7.0,OUT OF STOCK,,"ANKER,POWERLINE,II,LIGHTNING,3M,10FT,BLACK","آنكر,باورلاين,2,كابل,لايتننغ,بطول,3,متر,أسود",ANKER-POWERLINE-II-LIGHTNING-3M-10FT-BLACK,"Strength In Numbers: Extreme reinforcement ensures internal wiring is protected to keep phones charging—able to support over 175 lb (80kg).
Ultimate Durability: lasts 12X longer than other cables and proven to withstand over 12000 bends in strict laboratory tests.
Charge fast: mfi certification and strict quality testing ensure your Apple devices are charged safely, at their fastest possible speed.
What You Get: Anker PowerLine II (10ft/3m including both ends), our fan-favorite 18-month warranty and friendly customer service.
PowerLine II Lightning Cable
The Cable That’s Yours For Life
From Strength to Strength
PowerLine II tolerates being bent over 12,000 times, lasting an enormous 12x longer than other Lightning cables.
Certified Compatibility
MFi certification means total peace of mind because PowerLine II is completely Apple authorized. Designed to work flawlessly with iPhone, iPad, iPod or any device with a Lightning port.
Lasts a Lifetime
To show our belief in PowerLine II, we are offering a hassle-free replacement for all quality issues. Not for half a year, not for 18 months, but for an entire lifetime. It may be the last cable you’ll ever need to buy.
Compatible With:
iPhone 11 / X / XS / XR / XS Max / 8 / 8 Plus / 7 / 7 Plus / 6s / 6s Plus / 6 / 6 Plus / 5s / 5c / 5, iPad Pro / Air / Air 2, iPad mini / mini 2 / mini 3 / mini 4, iPad (4th generation), iPod nano (7th generation), iPod touch (5th generation), AirPods and AirPods with Wireless Charging Case.","القوة في الأرقام: يضمن التعزيز الشديد حماية الأسلاك الداخلية للحفاظ على شحن الهواتف - قادرة على دعم أكثر من 175 رطلاً (80 كجم).
متانة قصوى: تدوم 12 مرة أطول من الكابلات الأخرى وثبت أنها تتحمل أكثر من 12000 انحناء في الاختبارات المعملية الصارمة.
الشحن السريع: تضمن شهادة مؤسسات التمويل الأصغر واختبارات الجودة الصارمة شحن أجهزة Apple الخاصة بك بأمان وبأقصى سرعة ممكنة.
ما تحصل عليه: Anker PowerLine II (10 أقدام / 3 م بما في ذلك كلا الطرفين) ، ضماننا المفضل لمدة 18 شهرًا وخدمة العملاء الودودة.
كابل Lightning PowerLine II
الكابل الذي تملكه مدى الحياة
من قوة إلى قوة
يسمح PowerLine II بالانحناء أكثر من 12000 مرة ، ويدوم 12 مرة أطول من كابلات Lightning الأخرى.
التوافق المعتمد
تعني شهادة MFi راحة البال الكاملة لأن PowerLine II مرخص بالكامل من Apple. مصمم للعمل بشكل لا تشوبه شائبة مع iPhone أو iPad أو iPod أو أي جهاز به منفذ Lightning.
يدوم مدى الحياة
لإظهار إيماننا بـ PowerLine II ، نقدم بديلاً خالٍ من المتاعب لجميع مشكلات الجودة. ليس لمدة نصف عام ، وليس لمدة 18 شهرًا ، ولكن طوال العمر. قد يكون هذا هو آخر كابل تحتاج إلى شرائه.
متوافق مع:
iPhone 11 / X / XS / XR / XS Max / 8/8 Plus / 7/7 Plus / 6s / 6s Plus / 6/6 Plus / 5s / 5c / 5 ، iPad Pro / Air / Air 2 ، iPad mini / mini 2 / mini 3 / mini 4 ، iPad (الجيل الرابع) ، iPod nano (الجيل السابع) ، iPod touch (الجيل الخامس) ، AirPods و AirPods مع علبة الشحن اللاسلكي."
13,ANKER CABLES,848061041477.0,7D-A8434H21,WHITE,ANKER POWERLINE II LIGHTNING - 3M/10FT - WHITE,,آنكر باورلاين 2 كابل لايتننغ بطول 3 متر - أبيض,7.0,OUT OF STOCK,,"ANKER,POWERLINE,II,LIGHTNING,3M,10FT,WHITE","آنكر,باورلاين,2,كابل,لايتننغ,بطول,3,متر,أبيض",ANKER-POWERLINE-II-LIGHTNING-3M-10FT-WHITE,,
13,ANKER CABLES,848061041484.0,7D-A8434H31,BLUE,ANKER POWERLINE II LIGHTNING - 3M/10FT - BLUE,,آنكر باورلاين 2 كابل لايتننغ بطول 3 متر - أزرق,7.0,OUT OF STOCK,,"ANKER,POWERLINE,II,LIGHTNING,3M,10FT,BLUE","آنكر,باورلاين,2,كابل,لايتننغ,بطول,3,متر,أزرق",ANKER-POWERLINE-II-LIGHTNING-3M-10FT-BLUE,,
14,ANKER CABLES,,7D-A8436H11,,ANKER POWERLINE II 3 IN 1 - 0.9M/3FT - BLACK,,أنكر باورلاين 2 كابل متعدد 3 في 1 بطول 3 أقدام - أسود,9.0,,,"ANKER,POWERLINE,II,3,IN,1,0.9M,3FT,BLACK","أنكر,باورلاين,2,كابل,متعدد,3,في,1,بطول,3,أقدام,أسود",ANKER-POWERLINE-II-3-IN-1-0.9M-3FT-BLACK,"• One for All: Charge any of your devices with the interchangeable, built-in Micro USB, USB-C, and Lightning connectors.
• Enhanced Durability: Extreme reinforcement keeps internal wiring protected from trauma and degradation.
• Charge Fast: MFi certification from Apple, and strict quality testing ensure all your devices are charged safely, at their fastest possible speed.
• A Cable for Life: We're so confident about PowerLine II's long-lasting performance that we gave it a hassle-free, lifetime warranty.
• What You Get: Anker PowerLine II 3-in-1 Cable, a hassle-free lifetime warranty and friendly customer service.
Compatible Devices:
• MacBook (2016) / MacBook Pro 13.3'' / MacBook Pro 15.4''
• Nintendo Switch
• Google Chromebook / Pixel C
• Huawei Mate 9 / P10
• MOTO Z / Z Force
• One Plus 3","• شاحن واحد لجميع الأنواع: اشحن أي جهاز من أجهزتك باستخدام موصلات Micro USB و USB-C و Lightning القابلة للتبديل والمدمجة.
• متانة مُحسّنة: التعزيز الشديد يحمي الأسلاك الداخلية من الصدمات والتدهور.
• الشحن السريع: تضمن شهادة MFi من Apple واختبار الجودة الصارم شحن جميع أجهزتك بأمان وبأقصى سرعة ممكنة.
• كابل مدى الحياة: نحن واثقون جدًا من أداء PowerLine II طويل الأمد لدرجة أننا قدمنا له ضمانًا خالٍ من المتاعب مدى الحياة.
• ما تحصل عليه: كابل Anker PowerLine II  3 في 1 ، ضمان خالٍ من المتاعب مدى الحياة وخدمة عملاء ودودة.
الأجهزة المتوافقة:
• MacBook (2016) / MacBook Pro 13.3 بوصة / MacBook Pro 15.4 بوصة
• نينتندو سويتش
• Google Chromebook / Pixel C
• Huawei Mate 9 / P10
• MOTO Z / Z Force
• One Plus 3"
15,ANKER CABLES,,7D-A8451H11,BLACK,ANKER POWERLINE+ II LIGHTNING - 0.3M/1FT - BLACK,,انكر باورلاين بلاس 2 كابل لايتننغ بطول 0.3 متر – أسود,6.5,,,"ANKER,POWERLINE+,II,LIGHTNING,0.3M,1FT,BLACK","انكر,باورلاين,بلاس,2,كابل,لايتننغ,بطول,0.3,متر,–,أسود",ANKER-POWERLINE+-II-LIGHTNING-0.3M-1FT-BLACK,"Staying Power: Lasts 30x longer than ordinary cables—proven in a laboratory environment to withstand 30000 bends.
Amazing Strength: One of the toughest cables ever created, with tensile strength capable of withstanding 175 lbs.
Apple Certification: MFi certified for flawless compatibility with Apple Lightning devices, ensuring the highest possible charging speeds.
Perfectly Portable: 1 foot of cable fits just right wherever it needs to be stowed, while remaining lengthy enough to charge with ease.
What You Get: PowerLine+ II Lightning Cable, welcome guide, hassle-free lifetime warranty and friendly customer service. (Travel pouch not included with 1ft and 10ft lengths.)
PowerLine+ II Lightning Cable
The Ultra-Durable Cable That's Yours For Life

Evolved Durability
Withstand any twist, tug, and tangle with premium braided nylon fiber. And PowerLine+ II's elite internal components are built to last years, charge after charge.

Certified Fast
Boasts Apple's MFi certification for Lightning cables, ensuring ideal charging speeds for iPhone 8, 8 Plus, X, and any other device with a Lightning interface.

Pocket Perfect
Ideal take-anywhere size for charging on-the-go.

Creative Colors
Choose from four brilliant colors: vibrant two-shade nylon braiding to match any device, purse, bag, or room. Stand out from the crowd and easily spot your cable—even in crowded or messy environments.

A Cable for Life
We're so confident in PowerLine+ II, we are offering a hassle-free replacement for all quality issues. Not for half a year, not for 18 months, but for an entire lifetime. It's the only cable you will ever need to buy.

Compatible Devices
iPhone X / 8 / 8 Plus / 7 / 7 Plus / 6 / 6 Plus / 5s, iPad Pro / Air / Air 2, iPad mini / mini 2 / mini 3 / mini 4, iPad (4th generation), iPod nano (7th generation) and iPod Touch (5th generation)","تدوم طويلاً 30 مرة أكثر من الكابلات العادية - ثبت في بيئة معملية أنها تتحمل 30000 انحناء.
قوة مذهلة: واحدة من أصعب الكابلات التي تم إنشاؤها على الإطلاق ، مع قوة شد قادرة على تحمل 175 رطلاً.
شهادة Apple: معتمدة من MFi لتوافق لا تشوبه شائبة مع أجهزة Apple Lightning ، مما يضمن أعلى سرعات شحن ممكنة.
ممتاز للتنقل: 1 قدم من الكبل يناسب تمامًا أي مكان يحتاج إلى تخزينه ، بينما يظل طويلًا بما يكفي لشحنه بسهولة.
ما تحصل عليه: PowerLine + II Lightning Cable ، دليل ترحيب ، ضمان خالٍ من المتاعب مدى الحياة وخدمة عملاء ودودة. 
كابل Lightning PowerLine + II
الكابل شديد التحمل لك مدى الحياة

متانة متطورة
تحمل أي التفاف ، وسحب ، وتشابك مع ألياف نايلون مضفرة ممتازة. وتم تصميم المكونات الداخلية المتميزة في PowerLine + II لتدوم لسنوات ، ويتم شحنها بعد الشحن.

سريع معتمد
يتميز بشهادة Apple MFi لكابلات Lightning ، مما يضمن سرعات شحن مثالية لأجهزة iPhone 8 و 8 Plus و X وأي جهاز آخر مزود بواجهة Lightning.

ممتاز للحمل في الجيب
حجم مثالي يمكن أخذه في أي مكان للشحن أثناء التنقل.

ألوان إبداعية
اختر من بين أربعة ألوان رائعة: ضفيرة نابضة بالحياة من النايلون ذات درجتين لتتناسب مع أي جهاز أو حقيبة يد أو حقيبة أو غرفة. تميّز عن الآخرين واكتشف الكابل بسهولة - حتى في البيئات المزدحمة أو الفوضوية.
كابل مدى الحياة
نحن واثقون جدًا من PowerLine + II ، فنحن نقدم بديلاً خاليًا من المتاعب لجميع مشكلات الجودة. ليس لمدة نصف عام ، وليس لمدة 18 شهرًا ، ولكن طوال العمر. إنه الكابل الوحيد الذي ستحتاج إلى شرائه على الإطلاق.

الأجهزة المتوافقة:
iPhone X / 8/8 Plus / 7/7 Plus / 6/6 Plus / 5s ، iPad Pro / Air / Air 2 ، iPad mini / mini 2 / mini 3 / mini 4 ، iPad (الجيل الرابع) ، iPod nano (السابع الجيل) و iPod Touch (الجيل الخامس)"
15,ANKER CABLES,,7D-A8451H91,RED,ANKER POWERLINE+ II LIGHTNING - 0.3M/1FT - RED,,انكر باورلاين بلاس 2 كابل لايتننغ بطول 0.3 متر – أبيض,6.5,,,"ANKER,POWERLINE+,II,LIGHTNING,0.3M,1FT,RED","انكر,باورلاين,بلاس,2,كابل,لايتننغ,بطول,0.3,متر,–,أبيض",ANKER-POWERLINE+-II-LIGHTNING-0.3M-1FT-RED,,
